first_name,last_name,score,style,YOE,IDE,Programming language,location,Number of github repos contributed to,Employer,OS,job title,age
Anderson,Hicks ,8,spaces,16,VSCode,GO,Europe,0,Instagram,Windows,SWE 2,34.3
Veronica,Valenzuela ,3,tabs,6,Visual Studio,Java,Europe,0,Instagram,MacOS,Principal Engineer,25.2
Katherine,Bell ,1,tabs,9,Vim,Python,Africa,0,Instagram,Windows,SWE 1,27.7
Nicole,Silva ,4,spaces,17,Visual Studio,Python,Asia,0,Netflix,Linux,Principal Engineer,33.4
Luciano,Wang ,7,tabs,7,Visual Studio,Java,Asia,0,Apple,MacOS,Senior Engineer,27.4
Chase,Hoffman ,2,tabs,6,Eclipse,C,Europe,4,Uber,Linux,Principal Engineer,31.9
Kayla,Jensen ,2,spaces,14,Visual Studio,PHP,Antarctica,1,Facebook,Windows,SWE 1,30.2
Adalynn,Myers ,9,spaces,15,Visual Studio,Java,Europe,3,Amazon,Windows,SWE 1,34.5
Leighton,Clark ,4,spaces,18,Visual Studio,C,Antarctica,0,Twitter,Windows,SWE 1,37.7
Sadie,Ray ,6,tabs,8,VSCode,Javascript,Antarctica,0,Microsoft,MacOS,Senior Engineer,39.4
Vanessa,Mu¤oz ,6,tabs,7,Emacs,Python,Africa,3,Instagram,Windows,SWE 2,39.6
Matthias,Morgan ,9,spaces,16,pyCharm,Javascript,North America,0,Twitter,MacOS,Principal Engineer,36.7
Timothy,Allen ,9,spaces,17,Visual Studio,C,North America,0,Microsoft,Linux,Distinguished Engineer,27.6
Makenzie,Lugo ,5,spaces,19,Visual Studio,Python,Antarctica,4,Microsoft,Windows,SWE 1,31.2
Valeria,Arroyo ,3,spaces,14,VSCode,Java,North America,4,Netflix,Windows,SWE 2,32.9
Sydney,Calderon ,0,tabs,6,Visual Studio,C,Asia,0,Twitter,MacOS,Senior Engineer,35.4
Joshua,Hubbard ,1,spaces,14,VSCode,C#,Antarctica,0,Facebook,Windows,SWE 2,31.2
Celine,Escobar ,3,tabs,9,VSCode,C++,Asia,4,Apple,Windows,Senior Engineer,32.6
Henry,Simmons ,3,tabs,8,VSCode,C,Antarctica,0,Spotify,Windows,SWE 1,39.5
Tucker,Bradford ,1,spaces,15,Eclipse,C,Asia,0,Uber,Linux,Distinguished Engineer,29.2
Hugo,Rivers ,3,spaces,19,Visual Studio,Python,Asia,0,Netflix,Windows,SWE 1,37.5
Solomon,Dalton ,6,tabs,7,XCode,Python,North America,2,Twitter,MacOS,Senior Engineer,34.3
Emiliano,Rich ,10,spaces,16,Visual Studio,R,North America,0,Google,Windows,Senior Engineer,28.4
Angelo,Stuart ,2,tabs,7,Emacs,Python,Africa,0,Apple,Windows,SWE 2,29.6
Ana,Dawson ,5,spaces,15,Visual Studio,Swift,Europe,0,Facebook,MacOS,Principal Engineer,34.5
Kane,Fuller ,9,tabs,6,Emacs,Javascript,Europe,0,Microsoft,Windows,SWE 2,40.4
Gunner,Sloan ,8,spaces,16,XCode,Javascript,Africa,0,Facebook,Windows,Senior Engineer,32.9
Kali,Clarke ,4,tabs,7,XCode,Python,Asia,0,Spotify,Windows,SWE 2,36.8
Messiah,Navarro ,6,spaces,16,Visual Studio,Python,Europe,0,Spotify,MacOS,Principal Engineer,27.3
Charli,Stanton ,2,tabs,9,pyCharm,C#,North America,0,Uber,Linux,Distinguished Engineer,31.2
Ryan,Graham ,8,spaces,18,Visual Studio,Javascript,North America,0,Amazon,Linux,Principal Engineer,31.2
Quinn,Smith ,7,spaces,14,Visual Studio,C,North America,2,Snapchat,MacOS,Senior Engineer,31.3
Nora,Mendez ,6,spaces,17,Emacs,C#,Africa,0,Facebook,Windows,SWE 1,34.3
Myles,Mahoney ,1,spaces,11,Visual Studio,Java,Antarctica,1,Netflix,Windows,SWE 1,33.5
Valerie,Mckinney ,6,spaces,15,XCode,R,North America,0,Apple,Linux,Principal Engineer,36.5
Devin,Shaffer ,2,tabs,5,XCode,PHP,Europe,0,Apple,Windows,SWE 2,31.9
Ryder,King ,4,spaces,17,Visual Studio,Python,Antarctica,0,Apple,MacOS,Senior Engineer,33.7
Edwin,Moyer ,6,spaces,16,Emacs,Python,North America,0,Snapchat,Linux,Principal Engineer,38.1
Willow,Montoya ,2,tabs,8,XCode,C#,Antarctica,1,Microsoft,MacOS,Principal Engineer,31.7
Jordyn,Ward ,0,spaces,17,Visual Studio,PHP,Europe,0,Netflix,Linux,Distinguished Engineer,35.7
Aylin,Richmond ,3,tabs,9,Vim,Java,Asia,2,Netflix,Windows,SWE 2,43.3
Luke,Sandoval ,7,tabs,8,Intellij,Python,Asia,0,Twitter,Windows,SWE 2,29.2
Leo,Andrews ,3,tabs,7,Visual Studio,C++,Africa,2,Instagram,Windows,SWE 1,35.1
Corbin,Palmer ,7,tabs,7,XCode,C,Antarctica,0,Snapchat,MacOS,Senior Engineer,29.8
Eloise,Harding ,9,tabs,7,Eclipse,Javascript,North America,0,Apple,Windows,Senior Engineer,40.6
Georgia,Martinez ,8,spaces,17,Vim,C#,North America,0,Facebook,Windows,Senior Engineer,30.6
Alexis,Frazier ,2,tabs,6,Intellij,Java,Antarctica,0,Facebook,Windows,Senior Engineer,29.7
Alijah,Cardenas ,5,tabs,6,XCode,Python,Europe,0,Spotify,Windows,SWE 1,37.8
Reese,Melton ,9,spaces,17,Visual Studio,Java,North America,0,Microsoft,Windows,SWE 1,35.3
Paisley,Lin ,5,spaces,17,Visual Studio,Python,Antarctica,0,Facebook,MacOS,Senior Engineer,41
Lily,Santos ,2,spaces,19,Intellij,Python,Africa,0,Twitter,Linux,Distinguished Engineer,26.5
Abel,Schroeder ,7,tabs,5,Eclipse,Python,Antarctica,0,Twitter,MacOS,Senior Engineer,28
Sterling,Duncan ,8,spaces,18,pyCharm,R,North America,0,Twitter,MacOS,Senior Engineer,32.2
Stephanie,Price ,6,spaces,19,Visual Studio,Swift,North America,0,Snapchat,Linux,Principal Engineer,31.1
Miracle,Gibbs ,2,tabs,6,Eclipse,Python,Africa,0,Uber,MacOS,Principal Engineer,28.9
Anna,Mckenzie ,3,tabs,7,Visual Studio,R,Antarctica,0,Spotify,Linux,Distinguished Engineer,35
Oaklynn,Peralta ,5,spaces,19,XCode,Python,Antarctica,2,Instagram,Windows,SWE 2,24.5
Catalina,Lambert ,10,spaces,15,Visual Studio,Swift,Europe,6,Amazon,Windows,SWE 2,28.3
Kira,Ashley ,9,spaces,14,VSCode,R,North America,0,Facebook,MacOS,Principal Engineer,32.3
Maren,Dixon ,2,tabs,7,Intellij,Java,Asia,0,Amazon,Linux,Principal Engineer,32.7
Cassidy,Montgomery ,3,tabs,8,pyCharm,Java,Asia,0,Uber,Windows,SWE 1,37.9
Garrett,Foster ,7,tabs,7,Intellij,C++,Africa,0,Twitter,MacOS,Senior Engineer,30.1
Sophie,Schaefer ,7,spaces,11,Visual Studio,Python,North America,0,Microsoft,MacOS,Senior Engineer,36.5
Elaina,Schwartz ,7,spaces,11,Vim,R,North America,0,Amazon,Windows,SWE 1,36.7
Heidi,Mosley ,6,spaces,15,Visual Studio,Python,North America,0,Microsoft,Windows,SWE 2,30.3
Paul,Dodson ,2,tabs,8,Eclipse,Swift,Antarctica,0,Uber,Windows,SWE 2,30.6
Nayeli,Zuniga ,6,tabs,8,Eclipse,R,Europe,0,Apple,Windows,SWE 1,32.2
Lola,Thornton ,2,tabs,7,Emacs,Java,Asia,0,Apple,Windows,SWE 2,29.6
Lexi,Hopkins ,1,tabs,9,Visual Studio,Swift,North America,0,Uber,Windows,SWE 1,26.6
Chloe,Barr ,8,spaces,17,Visual Studio,Javascript,North America,0,Twitter,MacOS,Senior Engineer,32.9
Spencer,Conway ,5,tabs,9,Visual Studio,Javascript,Asia,0,Spotify,Windows,SWE 1,33.2
Colin,Clayton ,2,tabs,6,XCode,C++,Antarctica,0,Microsoft,Linux,Distinguished Engineer,31.7
Anaya,Estes ,7,spaces,14,Visual Studio,Java,Africa,0,Netflix,MacOS,Senior Engineer,33.7
Jesus,Tate ,7,spaces,15,Visual Studio,PHP,North America,0,Facebook,Linux,Distinguished Engineer,39.4
Anthony,Ahmed ,9,spaces,18,Eclipse,Python,North America,0,Apple,Windows,SWE 1,35.3
Genesis,Sherman ,9,spaces,13,Eclipse,C#,North America,0,Facebook,MacOS,Principal Engineer,37.5
Madeline,Griffith ,1,tabs,8,VSCode,C++,Europe,0,Apple,Windows,SWE 2,27.4
Sloane,Murray ,4,tabs,5,Eclipse,Swift,Europe,4,Facebook,MacOS,Senior Engineer,35.8
Brooke,Sexton ,5,tabs,9,VSCode,Python,Antarctica,0,Spotify,Windows,SWE 2,31.7
Kashton,Johns ,1,tabs,6,Intellij,C,Africa,0,Instagram,Windows,Senior Engineer,39.4
Briggs,Khan ,5,spaces,17,VSCode,C++,Europe,0,Uber,MacOS,Senior Engineer,34.7
Makenzie,Gonzalez ,1,spaces,17,Vim,C,Asia,0,Microsoft,Windows,SWE 1,39.6
Ayaan,Castro ,10,spaces,12,VSCode,Swift,Antarctica,0,Microsoft,Windows,SWE 1,39.1
Makenna,Blevins ,1,tabs,9,VSCode,Python,Asia,0,Spotify,Linux,Distinguished Engineer,34.3
Ariah,Bowers ,7,spaces,13,VSCode,Python,North America,2,Microsoft,Windows,SWE 1,37.3
Levi,Norton ,7,tabs,7,Emacs,C#,North America,3,Twitter,Windows,SWE 1,33.9
Reagan,Golden ,3,tabs,8,Emacs,C#,Asia,0,Instagram,MacOS,Principal Engineer,35.2
Marco,Fleming ,4,spaces,14,Eclipse,Python,Europe,0,Apple,MacOS,Senior Engineer,32
Emily,Everett ,5,tabs,7,Emacs,R,North America,4,Instagram,Windows,SWE 2,34.8
Blake,Carrillo ,4,tabs,8,pyCharm,Python,Europe,0,Spotify,Linux,Principal Engineer,33.1
Millie,Roth ,1,tabs,5,VSCode,C,Asia,0,Amazon,Windows,SWE 1,27.3
Daisy,Garner ,4,spaces,20,pyCharm,Python,Africa,0,Microsoft,MacOS,Principal Engineer,36.5
Jeremiah,Nichols ,4,spaces,15,Visual Studio,Python,Asia,4,Apple,Linux,Principal Engineer,44.5
Patrick,Woodard ,5,spaces,16,Visual Studio,Java,North America,3,Snapchat,Windows,SWE 2,35
Edith,Benitez ,3,tabs,6,pyCharm,Java,Europe,0,Microsoft,MacOS,Principal Engineer,31.6
Isaiah,Evans ,8,spaces,14,XCode,Javascript,Europe,0,Amazon,Windows,SWE 2,32.7
Lilah,Graves ,1,tabs,9,Visual Studio,Javascript,Africa,2,Snapchat,MacOS,Senior Engineer,31.3
Ariana,Morse ,6,tabs,5,Intellij,GO,Africa,2,Instagram,Windows,SWE 2,30.1
Kiara,Buchanan ,3,spaces,16,pyCharm,Javascript,Antarctica,0,Netflix,Windows,SWE 1,36
Leonel,Lucero ,9,tabs,9,Emacs,C#,Europe,0,Snapchat,Windows,SWE 2,30.2
Alex,Vu ,6,tabs,8,VSCode,R,Asia,0,Instagram,MacOS,Senior Engineer,24.9
Talia,Ochoa ,2,tabs,8,Eclipse,Python,Europe,0,Netflix,MacOS,Senior Engineer,32.8
Hank,David ,1,spaces,17,Visual Studio,PHP,Asia,0,Apple,Linux,Principal Engineer,34.3
Matthias,Escobar ,7,tabs,8,XCode,C#,North America,0,Google,Windows,SWE 1,31.4
Skye,Salinas ,2,tabs,7,Eclipse,Java,North America,4,Twitter,MacOS,Senior Engineer,28.3
Winter,Fletcher ,8,spaces,13,VSCode,Java,Africa,0,Apple,Windows,SWE 2,30.7
Jennifer,Weiss ,0,tabs,7,pyCharm,Python,Asia,0,Amazon,Linux,Distinguished Engineer,36.5
Max,Rivers ,9,spaces,14,VSCode,GO,Africa,0,Facebook,Windows,SWE 2,30.8
Alexandra,Liu ,1,tabs,5,Intellij,C,Antarctica,0,Facebook,MacOS,Senior Engineer,38.1
Ellis,Vargas ,5,spaces,12,Visual Studio,R,Europe,0,Amazon,Linux,Principal Engineer,31.5
Blake,Ellison ,6,tabs,5,Intellij,C#,Asia,0,Microsoft,MacOS,Senior Engineer,36.5
Amari,Shannon ,5,spaces,16,Intellij,C#,Africa,0,Microsoft,Windows,SWE 2,41.7
Ibrahim,Bradshaw ,2,spaces,18,Emacs,C#,Europe,0,Snapchat,Windows,SWE 2,28.7
Rosemary,Green ,9,spaces,15,Intellij,C++,Africa,0,Instagram,Windows,SWE 1,29
Matilda,Hayden ,2,tabs,8,Emacs,R,Africa,3,Twitter,Linux,Distinguished Engineer,34.7
Andy,White ,4,spaces,13,VSCode,C++,Africa,0,Instagram,Windows,SWE 1,37.8
Maddison,Hansen ,10,spaces,16,VSCode,C,Europe,0,Facebook,Linux,Distinguished Engineer,32.1
Prince,Morales ,8,spaces,17,Eclipse,Python,Africa,4,Apple,Windows,SWE 1,27.5
Griffin,Duke ,2,tabs,5,VSCode,Python,Asia,0,Netflix,MacOS,Principal Engineer,34.8
Arianna,Molina ,5,spaces,17,Visual Studio,Swift,Africa,0,Uber,MacOS,Senior Engineer,41.4
Maliyah,Wyatt ,9,spaces,18,Visual Studio,Python,North America,0,Microsoft,Windows,SWE 1,31.1
Crew,Spencer ,8,spaces,16,VSCode,C#,Africa,0,Twitter,Linux,Principal Engineer,29.9
Sean,Mclaughlin ,7,tabs,6,Visual Studio,Python,North America,0,Amazon,Windows,SWE 2,26.3
Hazel,Ramirez ,5,spaces,15,Visual Studio,Javascript,Africa,0,Instagram,Linux,Principal Engineer,31
Bentley,Mcgee ,0,tabs,6,Emacs,Python,Asia,0,Microsoft,Linux,Distinguished Engineer,29.2
Bowen,Larson ,4,spaces,18,VSCode,C,Asia,0,Uber,Windows,SWE 1,37.7
Vincent,May ,9,spaces,17,Visual Studio,Javascript,Antarctica,2,Netflix,Windows,SWE 1,37.5
Kolton,Marks ,10,spaces,14,pyCharm,Swift,Africa,6,Microsoft,Windows,SWE 2,37.7
Kaylani,Reilly ,5,tabs,6,Intellij,Swift,Europe,0,Uber,Windows,SWE 2,41.5
Willow,Velez ,4,tabs,7,Emacs,Java,Africa,4,Netflix,MacOS,Senior Engineer,32.4
Kailani,Barnes ,3,tabs,7,Emacs,Python,Africa,2,Facebook,Windows,SWE 2,37.1
Porter,Dean ,0,tabs,9,XCode,C,Europe,0,Instagram,MacOS,Senior Engineer,29.8
Jase,Jefferson ,7,tabs,7,Emacs,C#,Africa,2,Apple,Windows,SWE 2,32.9
Luciano,Ayers ,7,tabs,7,VSCode,C#,Africa,0,Twitter,Linux,Principal Engineer,29.6
Kaden,Chan ,3,tabs,8,Visual Studio,Python,North America,0,Twitter,Windows,SWE 1,33
Samuel,Galindo ,9,spaces,15,Visual Studio,Java,Antarctica,0,Amazon,MacOS,Senior Engineer,31.3
Kingston,Spencer ,5,spaces,16,Eclipse,Python,Europe,0,Snapchat,Windows,SWE 1,39.4
Teagan,Blair ,5,tabs,7,Eclipse,PHP,Europe,0,Facebook,Windows,SWE 1,35.9
Taylor,Hubbard ,9,spaces,16,Eclipse,R,North America,0,Instagram,MacOS,Principal Engineer,33.2
Ethan,Walter ,1,spaces,16,Eclipse,Python,Asia,3,Amazon,MacOS,Principal Engineer,28
Helen,Foley ,1,tabs,6,Eclipse,Javascript,Africa,0,Instagram,Linux,Principal Engineer,31.1
Jade,Robbins ,7,spaces,14,Emacs,Swift,Africa,0,Microsoft,Windows,SWE 1,23.2
Faith,Salas ,9,spaces,16,Visual Studio,Javascript,Asia,0,Microsoft,Windows,SWE 1,34.7
Caiden,Powell ,7,spaces,15,Emacs,PHP,North America,0,Microsoft,Linux,Principal Engineer,31.5
Sage,Schultz ,10,tabs,7,XCode,C++,North America,0,Instagram,Windows,SWE 1,40.4
Nicholas,Mu¤oz ,3,spaces,15,Visual Studio,PHP,Europe,0,Microsoft,Linux,Distinguished Engineer,34.8
Valentina,Mcguire ,7,spaces,17,Intellij,C#,Antarctica,0,Netflix,Linux,Distinguished Engineer,28.6
Payton,Caldwell ,5,spaces,16,Eclipse,C,Antarctica,0,Twitter,Linux,Principal Engineer,37.5
Adan,Dawson ,1,spaces,15,Visual Studio,Python,Asia,0,Snapchat,Windows,Senior Engineer,30.1
Ryder,Franklin ,0,tabs,7,Visual Studio,C,Africa,0,Spotify,MacOS,Senior Engineer,36.5
Presley,Dodson ,1,spaces,16,VSCode,Python,Asia,3,Apple,MacOS,Principal Engineer,36.7
Sebastian,Curtis ,10,tabs,7,Eclipse,Javascript,Asia,4,Snapchat,Windows,SWE 2,38.3
Alaya,Sosa ,7,tabs,6,Eclipse,GO,Antarctica,0,Apple,Windows,SWE 2,29.4
Madilyn,Montgomery ,0,tabs,8,Visual Studio,PHP,Asia,0,Instagram,Windows,SWE 1,30.3
Camryn,Eaton ,6,spaces,16,Visual Studio,Python,Europe,1,Uber,MacOS,Senior Engineer,38.6
June,Trujillo ,1,tabs,6,Intellij,Python,Asia,0,Facebook,Windows,SWE 2,32.2
August,Odom ,1,tabs,8,VSCode,R,Europe,0,Twitter,Windows,SWE 1,33.7
Scarlett,Garrison ,7,spaces,16,XCode,Python,North America,0,Apple,Windows,SWE 2,36.5
Alyssa,Jefferson ,10,spaces,14,Emacs,Python,Antarctica,5,Facebook,Linux,Principal Engineer,34.9
Talia,Dunn ,5,tabs,7,Visual Studio,C#,Europe,0,Instagram,MacOS,Senior Engineer,32
Killian,Lynch ,9,spaces,18,Intellij,Python,North America,0,Amazon,MacOS,Senior Engineer,31.1
Jacob,?vila ,5,spaces,16,Intellij,Javascript,Europe,0,Uber,Windows,SWE 2,33.5
Grace,Berger ,2,tabs,7,VSCode,Java,Asia,3,Uber,Windows,SWE 2,32.2
Rosalie,Juarez ,1,tabs,5,Intellij,C#,Africa,0,Microsoft,MacOS,Principal Engineer,39.4
Cruz,Hendricks ,3,spaces,16,Eclipse,PHP,Antarctica,0,Uber,Linux,Distinguished Engineer,28.8
Santiago,Castaneda ,3,tabs,7,Eclipse,PHP,Antarctica,0,Spotify,MacOS,Senior Engineer,34.3
Xander,Padilla ,1,tabs,6,Vim,Python,Antarctica,0,Uber,Windows,SWE 2,37.3
Juan,Skinner ,5,tabs,9,Intellij,C#,Africa,0,Facebook,MacOS,Senior Engineer,33
Avery,Chang ,10,spaces,16,Visual Studio,GO,Antarctica,1,Twitter,MacOS,Principal Engineer,25.9
Kylie,Browning ,3,spaces,16,Visual Studio,C++,Africa,0,Uber,MacOS,Principal Engineer,31.6
Alan,Parra ,1,tabs,6,Intellij,Python,Europe,0,Facebook,Windows,SWE 1,33.9
Apollo,Ray ,5,spaces,14,Eclipse,Python,Europe,2,Uber,Linux,Principal Engineer,32.6
Finnegan,King ,4,tabs,6,Vim,Swift,Africa,0,Facebook,Windows,SWE 1,40.2
Emma,Marin ,3,tabs,5,Intellij,C,Africa,2,Microsoft,Windows,SWE 1,30.9
Memphis,Vo ,2,tabs,9,pyCharm,Java,Asia,1,Facebook,MacOS,Principal Engineer,28.6
Arielle,Randolph ,6,spaces,18,Intellij,Python,Antarctica,0,Instagram,Windows,SWE 2,36.8
Lexi,Espinoza ,0,tabs,7,Visual Studio,R,Antarctica,0,Netflix,Windows,SWE 2,30.1
Dahlia,Gaines ,6,spaces,17,Eclipse,GO,Antarctica,0,Apple,Windows,SWE 2,31.9
Lilliana,Lamb ,9,spaces,15,Eclipse,Java,North America,5,Google,MacOS,Principal Engineer,32.4
Baylor,Watson ,5,spaces,15,Visual Studio,GO,Asia,0,Apple,Windows,SWE 1,36.7
Beckham,Buchanan ,0,tabs,9,Visual Studio,Python,Antarctica,2,Apple,Linux,Distinguished Engineer,24.9
Astrid,Faulkner ,5,tabs,7,Intellij,GO,Europe,2,Facebook,Windows,SWE 2,33
Iker,Gray ,2,spaces,15,Eclipse,Javascript,Africa,0,Facebook,Linux,Distinguished Engineer,30.7
Cayden,Ward ,8,spaces,16,Visual Studio,Javascript,North America,0,Amazon,Windows,SWE 1,33.7
Everett,Conrad ,3,spaces,13,Visual Studio,Java,Asia,0,Microsoft,Linux,Distinguished Engineer,35.6
Leo,Edwards ,7,spaces,15,VSCode,Swift,Asia,0,Microsoft,MacOS,Senior Engineer,29.7
Desmond,Barton ,0,tabs,6,Vim,C#,Asia,3,Microsoft,MacOS,Senior Engineer,31.4
Caroline,Bradford ,3,tabs,7,XCode,R,Antarctica,0,Uber,Windows,SWE 2,36.1
Julian,Nguyen ,5,tabs,6,Eclipse,Javascript,Europe,0,Facebook,Windows,SWE 1,37.1
Jensen,Chapman ,3,tabs,6,Eclipse,R,Asia,0,Facebook,MacOS,Senior Engineer,27
Rylie,Park ,0,tabs,6,pyCharm,C#,Europe,0,Instagram,Windows,SWE 1,36.5
Alayna,Moody ,2,spaces,15,VSCode,Swift,Asia,0,Instagram,Linux,Distinguished Engineer,32.1
Kayleigh,Jaramillo ,2,tabs,7,Emacs,C#,Asia,0,Facebook,MacOS,Senior Engineer,33.2
Kaylani,Greene ,2,tabs,8,Vim,C#,Antarctica,0,Snapchat,Windows,SWE 2,34.1
Tucker,Vo ,0,spaces,14,Visual Studio,C++,Asia,3,Facebook,Windows,SWE 1,26.3
Callie,Jarvis ,6,tabs,8,Emacs,R,North America,0,Amazon,Windows,SWE 1,31.3
Quinn,Duran ,4,spaces,15,Visual Studio,Python,Africa,2,Microsoft,Windows,SWE 2,35.6
Cesar,David ,9,tabs,8,XCode,R,North America,0,Uber,Windows,SWE 1,37.5
Valentina,Hull ,1,spaces,16,XCode,PHP,Antarctica,0,Uber,MacOS,Principal Engineer,32.9
Jacqueline,Whitehead ,10,tabs,7,Visual Studio,Java,Europe,0,Microsoft,Windows,SWE 1,27.3
Delaney,Hayden ,7,tabs,9,Intellij,PHP,North America,4,Microsoft,MacOS,Senior Engineer,31.4
Aaron,Gregory ,3,tabs,7,Eclipse,Python,Antarctica,0,Google,Windows,SWE 2,32.7
Genevieve,Dickson ,5,spaces,16,VSCode,GO,Africa,0,Snapchat,Linux,Principal Engineer,36.7
Hayes,Becker ,6,spaces,13,Visual Studio,Javascript,Asia,0,Apple,Windows,SWE 2,33.8
Remington,Meadows ,7,spaces,17,pyCharm,C#,North America,0,Uber,Windows,SWE 1,27.9
Mckenzie,Jones ,3,tabs,7,Vim,Java,Europe,0,Snapchat,Linux,Distinguished Engineer,28
Rowan,Dawson ,8,spaces,18,Visual Studio,R,Antarctica,0,Snapchat,Windows,SWE 1,31.6
George,Kelly ,4,spaces,19,Visual Studio,Java,Antarctica,0,Instagram,MacOS,Senior Engineer,35.8
Ember,Harrington ,2,tabs,9,VSCode,C,Asia,2,Twitter,Windows,SWE 1,29.6
Adalynn,Zhang ,5,spaces,18,Visual Studio,C,Africa,0,Microsoft,Linux,Principal Engineer,37.4
Dior,Sparks ,3,tabs,6,Visual Studio,PHP,North America,0,Twitter,Windows,SWE 2,36.1
Hannah,Grimes ,9,spaces,16,Intellij,C++,Europe,0,Amazon,Linux,Principal Engineer,33.9
Rory,Whitaker ,2,tabs,8,Eclipse,C#,Europe,1,Twitter,MacOS,Principal Engineer,29.9
Makenzie,Horton ,7,tabs,7,Vim,R,North America,0,Microsoft,Windows,SWE 1,29
Lyla,Rollins ,6,tabs,6,VSCode,PHP,Europe,2,Twitter,Linux,Principal Engineer,31
Felix,Tang ,9,spaces,20,XCode,C++,Europe,0,Instagram,Windows,SWE 2,30.6
Griffin,French ,8,spaces,15,XCode,C,Antarctica,0,Microsoft,Windows,SWE 2,30.6
Fiona,Bruce ,8,spaces,12,pyCharm,C,North America,0,Instagram,Windows,SWE 1,32.7
Sergio,Dixon ,6,tabs,8,VSCode,PHP,North America,0,Twitter,MacOS,Senior Engineer,22.2
Amari,Wells ,7,spaces,18,Intellij,GO,Africa,3,Apple,Windows,SWE 1,30.4
Luis,Howard ,8,spaces,14,XCode,Python,Asia,0,Microsoft,Linux,Principal Engineer,33.8
Colt,Xiong ,6,tabs,6,Visual Studio,Javascript,Europe,4,Microsoft,Windows,SWE 1,34.7
Demi,Gray ,5,tabs,5,Visual Studio,Python,North America,0,Uber,Windows,SWE 1,36.1
Christopher,Barrett ,5,tabs,9,pyCharm,GO,Europe,1,Spotify,MacOS,Senior Engineer,31.5
Sophia,Carson ,9,spaces,16,pyCharm,Java,North America,3,Twitter,MacOS,Senior Engineer,24.2
Alan,Holland ,7,tabs,9,Emacs,PHP,Europe,1,Microsoft,Windows,SWE 1,28.2
Thea,Soto ,5,tabs,7,XCode,R,Antarctica,0,Facebook,MacOS,Principal Engineer,43.3
Kate,Wise ,9,spaces,14,Emacs,C,Europe,3,Spotify,Windows,SWE 1,32.5
Killian,Foley ,3,tabs,8,VSCode,C,Europe,0,Apple,Windows,SWE 2,26.6
Grace,Villa ,1,tabs,6,Visual Studio,C,Europe,0,Facebook,Linux,Distinguished Engineer,29.6
Marshall,Buchanan ,7,tabs,5,VSCode,R,North America,0,Netflix,Linux,Principal Engineer,29.9
Colson,Kerr ,8,tabs,7,XCode,Javascript,Europe,3,Netflix,MacOS,Senior Engineer,29.3
Amara,Huber ,1,tabs,8,pyCharm,Python,Europe,3,Apple,Windows,SWE 1,23.2
Nevaeh,Stark ,8,tabs,6,Visual Studio,Javascript,North America,0,Microsoft,Windows,SWE 2,29.7
Conor,Cooper ,4,spaces,15,Visual Studio,Java,Africa,0,Microsoft,Linux,Principal Engineer,42
Killian,Phan ,9,spaces,18,Visual Studio,Javascript,Antarctica,0,Facebook,Windows,SWE 1,29.6
Alex,Lu ,7,spaces,18,Intellij,GO,Africa,0,Apple,Windows,SWE 1,29.6
Juniper,Webster ,3,tabs,6,Vim,PHP,Africa,0,Apple,Windows,SWE 1,35.6
Eden,Webb ,5,spaces,19,XCode,Javascript,North America,0,Microsoft,MacOS,Senior Engineer,31.3
Lorenzo,Rivers ,4,spaces,19,VSCode,Python,Europe,0,Microsoft,Windows,SWE 1,34.3
Warren,Villegas ,6,tabs,9,VSCode,C,Africa,0,Apple,Windows,SWE 1,36.5
Quinn,Villalobos ,10,tabs,7,VSCode,Python,North America,0,Apple,Windows,Senior Engineer,30.4
Hailey,Gonzales ,1,tabs,7,Eclipse,PHP,Europe,2,Twitter,Windows,SWE 1,31.5
Camilla,Vega ,9,spaces,13,VSCode,R,Africa,0,Microsoft,MacOS,Principal Engineer,39.6
Caden,Roman ,4,tabs,7,XCode,C#,Africa,1,Snapchat,Windows,SWE 1,33.7
King,Livingston ,7,spaces,15,VSCode,Java,Antarctica,0,Spotify,Windows,SWE 1,34.5
Angel,Ball ,1,tabs,9,XCode,PHP,Africa,0,Netflix,Linux,Distinguished Engineer,28.6
Elian,Barry ,0,tabs,9,Eclipse,C#,Asia,0,Apple,Linux,Distinguished Engineer,29.4
Matilda,Corona ,10,spaces,15,Emacs,Javascript,North America,3,Facebook,Windows,SWE 2,37.5
Sutton,Livingston ,9,spaces,11,Eclipse,Python,Antarctica,0,Snapchat,MacOS,Principal Engineer,37.8
Harlow,Terrell ,4,tabs,7,pyCharm,Python,Europe,0,Microsoft,MacOS,Principal Engineer,38.8
Zayne,Jefferson ,7,tabs,6,Visual Studio,C++,Africa,0,Instagram,MacOS,Senior Engineer,31.5
Solomon,Curtis ,5,tabs,5,Visual Studio,C,Antarctica,0,Instagram,Linux,Principal Engineer,29.2
Brayden,Edwards ,5,spaces,17,Eclipse,Python,Antarctica,0,Twitter,Linux,Principal Engineer,38.8
Lucia,Elliott ,3,spaces,12,Eclipse,C,Asia,0,Spotify,Linux,Distinguished Engineer,35.7
Nylah,Jimenez ,3,tabs,6,pyCharm,C++,Asia,0,Uber,Windows,SWE 2,35.9
Anaya,Schwartz ,3,spaces,15,VSCode,Python,Asia,0,Facebook,MacOS,Principal Engineer,36.9
Elliott,Reed ,9,spaces,14,Visual Studio,C,Africa,0,Google,Windows,Senior Engineer,32.9
